"uri","id","prefLabel","top","depth","broader","definition","scopeNote"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_1D4PGS43FR-G","43","Active_flight_strategy","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_8V4Q2GBSND-6","Ability to move by flight.","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_PSTSXSH1B3-7","223","Adult_activity_medium","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_W1NKW7X0D3-8","Intermediate adult activity during a given period","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_04PNRR5X3V-N","222","Adult_activity_strong","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_W1NKW7X0D3-8","Strong adult activity during a given period","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_FG0W3RR7C4-X","221","Adult_activity_weak","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_W1NKW7X0D3-8","Weak adult activity during a given period","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_DK48L16W4G-N","225","Adult_emergence_medium","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RXPHMXVLNK-7","Intermediate adult emergence during a given period","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_D7GVL354SK-F","227","Adult_emergence_strong","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RXPHMXVLNK-7","Strong adult emergence during a given period","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_VK45P86S8G-1","226","Adult_emergence_weak","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_RXPHMXVLNK-7","Weak adult emergence during a given period","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_TBQNV442GV-T","35","Antipredator_behaviour","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_HV551N19QV-G","Behaviour allowing to avoid predation (http://en.wikipedia.org/wiki/Antipredator_adaptation)","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_27M409K4X4-J","6","Asexual_reproduction","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_4N63TTQPKM-S","A mode of reproduction by which offspring arise from a single parent, and inherit the genes of that parent only (http://en.wikipedia.org/wiki/Asexual_reproduction)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CGJ1069FCH-3","215","Bivoltine","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_CNDGRF38H1-V","Organisms having two broods or generations per year (wikipedia)","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_GFJTRWRRFV-K","100","Body_dimension","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_NG9MPNSCK6-5","The dimension of the body",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_LJ80VTCMHP-B","110","Body_shape","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_NG9MPNSCK6-5","Geometrical description of the part of that space occupied by the physical structure of an organism ((Maggenti and Maggenti, 2005) : body; Wiki : shape)","categorical"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_R8P6X98NP9-5","91","Body_weight","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_NG9MPNSCK6-5","The individual body weight",
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_WSQLJ8CSVW-Q","229","Breeding_period","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_VF5179D6HL-7","The most suitable period of the year for breeding, usually with favourable conditions and abundant food (van Dijk, TS (1994) and Rivard I. (1964))","Interval"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_8PSQ889PBD-M","13","Cathemeral","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_5MGWBV5LLJ-S","Individuals are repeatedly active over day and night, with either long or short periods of activity across day and or night (Moretti et al (2016))","attribute"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_2GK5TB4WHN-T","11","Clutch_size","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_G1NRNV9BBK-K","Clutch size is defined as the number of offspring produced in discrete groups (or clutches) in a single reproductive event. Clutch size differs tremendously among species: from a single offspring produced at a time (e.g. in some parasitic wasps) up to hundreds of eggs laid simultaneously (e.g. in some snails) (Moretti et al (2016) (SupplMat, p27-28))","Number of clutches"
"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_39K9HQD216-4","40","Crawling_strategy","Trait",3,"https://ark.cefe.cnrs.fr/ark:/66666/TSITA_8V4Q2GBSND-6","To move using peristalsis","attribute"
